question,chunk_id,topic,group,source_content
dịch vụ hoạt động như thế nào?,74,MiDesk: Hợp đồng,MiDesk,Các gói dịch vụ của MiDesk cung cấp theo tháng hoặc theo năm; khách hàng có thể đăng ký/hủy dịch vụ bất kỳ khi nào (nhưng không hoàn trả lại phí đặt cọc).
Tôi muốn biết về Live Chat,415,Live Chat Website,MiDesk,"MiDesk hỗ trợ Live Chat trên website — khách truy cập có thể chat trực tiếp, agent nhận và phản hồi ngay, thu thập thông tin khách dễ dàng."
Giải thích về hệ thống,395,Khả năng tích hợp API,MiCXM,MiCXM cho phép tích hợp API với CRM/ERP hoặc các hệ thống bên ngoài để đồng bộ dữ liệu khách hàng và workflow.
MITEK đầu tư đào tạo nhân sự nhằm nâng cao?,278,Phát triển con người,Value,MITEK đầu tư đào tạo nhân sự nhằm nâng cao năng lực chuyên môn và phát triển sự nghiệp bền vững.
Giải thích về Hotline,400,Liên hệ & Hỗ trợ,MiCXM,"Hotline hỗ trợ MiCXM: 1900 1238 – Email: contact@mitek.vn, hỗ trợ tư vấn & triển khai."
Outsourcing hoạt động như thế nào?,173,Chung: BPO,Other,"MITEK cung cấp giải pháp cho lĩnh vực Thuê ngoài (BPO Outsourcing), giúp các công ty BPO triển khai Contact Center hiệu quả và tiết kiệm."
Lợi ích của khách hàng,269,Cam kết đồng hành,Commitment,MITEK coi sự thành công của khách hàng chính là thành công của công ty và cam kết đồng hành lâu dài.
quản lý hoạt động như thế nào?,376,Ứng dụng trong giáo dục & đào tạo,MiCXM,"Giáo dục/đào tạo dùng MiCXM để quản lý cuộc gọi tư vấn, hỗ trợ học viên, thông báo, CSKH qua nhiều kênh."
Tại sao nên dùng dịch vụ?,78,So sánh SP,Other,MiDesk tập trung vào Quản lý dịch vụ hỗ trợ khách hàng (CSKH) và các yêu cầu tương tác đa kênh (non-voice) thông qua hệ thống Ticket system.
Lợi ích của quản lý,443,Thích hợp start-up & SMEs,MiDesk,"Ngay cả doanh nghiệp nhỏ, start-up với nguồn lực hạn chế vẫn có thể sử dụng MiDesk để quản lý khách hàng chuyên nghiệp."
Tính năng Ticket System,10,Sản phẩm,Product,MiDesk (OmniChannel Support) là phần mềm quản lý hỗ trợ khách hàng đa kênh thông qua hệ thống Ticket System tập trung.
Tôi muốn biết về Tổng đài,282,Dịch vụ chính,MiPBX,"MiPBX cung cấp giải pháp Tổng đài Cloud PBX, Cloud Call Center, Auto-Call, VoiceBot/Voice OTP cho doanh nghiệp."
Tôi muốn biết về agent,434,Hỗ trợ nhiều chi nhánh,MiDesk,"MiDesk phù hợp với doanh nghiệp nhiều chi nhánh — dữ liệu tập trung, agent từ nhiều nơi vẫn làm việc tập trung & đồng bộ."
Giải thích về hệ thống,299,Đăng ký Demo,MiPBX,MiPBX cho phép doanh nghiệp đăng ký dùng thử miễn phí để trải nghiệm hệ thống trước khi quyết định sử dụng.
Giải thích về ticket,31,MiDesk: SLA,MiDesk,"MiDesk cho phép thiết lập SLA (Service Level Agreement) cho từng ticket để đo lường và quản lý thời gian phản hồi/xử lý, giúp gia tăng sự hài lòng của khách hàng."
Tính năng Extension,94,MiPBX: Di động,MiPBX,"Nhờ ứng dụng di động trên Smartphone, nhân viên có thể gọi ra bằng đầu số của công ty (số Extension) ở bất cứ đâu, tăng tính chuyên nghiệp và dễ quản lý."
Hướng dẫn sử dụng tổng đài,56,MiPBX: Vị trí,MiPBX,"MiPBX có tính linh hoạt cao, cho phép doanh nghiệp sử dụng tổng đài Cloud dù ở bất kỳ nơi đâu, không giới hạn vị trí địa lý."
Hướng dẫn sử dụng dịch vụ,424,Phù hợp ngành đa dạng,MiDesk,"MiDesk phù hợp nhiều ngành: bán lẻ, thương mại điện tử, dịch vụ, nhà hàng – khách sạn, logistics, bảo hành, support sau bán — dùng CSKH & ticket đa kênh."
Hướng dẫn sử dụng Hệ thống,34,MiDesk: Tự động,MiDesk,Hệ thống MiDesk có thể tự động nhắc nhở khi phiếu đến hạn hoặc quá hạn xử lý.
MITEK chọn lựa sứ mệnh thấu hiểu và phát?,204,Chung: Tầm nhìn,Other,MITEK chọn lựa sứ mệnh thấu hiểu và phát triển những ứng dụng công nghệ tiên tiến trong lĩnh vực CNTT và Viễn thông.
Chi tiết về khách hàng,181,MiCXM: Lợi ích,MiCXM,MiCXM là nền tảng giúp doanh nghiệp dẫn đầu về CX (Trải nghiệm khách hàng) trong kỷ nguyên số.
SMS quảng cáo nên gửi trước 16:30 ngày làm việc?,466,Quy định thời gian gửi SMS QC,MiSMS,SMS quảng cáo nên gửi trước 16:30 ngày làm việc (Thứ 2–Thứ 6). Nếu muốn gửi vào thứ 7/Chủ nhật — cần gửi trước 16:30 thứ 6 để đảm bảo đúng quy định.
Chi tiết về Start,71,MiDesk: Doanh nghiệp,MiDesk,"MiDesk phù hợp với mọi quy mô doanh nghiệp, không giới hạn ngành nghề, từ các công ty lớn đến các Start-up, chỉ cần cung cấp số lượng người dùng và nhu cầu."
Hướng dẫn sử dụng hệ thống,262,Trách nhiệm,Company,"Đội ngũ MITEK chịu trách nhiệm đến cùng trong việc hỗ trợ, giải quyết sự cố và tối ưu hiệu suất hệ thống cho doanh nghiệp."
Chi tiết về hệ thống,105,Case Study,Case Study,"Nhà xe Duy Tân đặc biệt hài lòng với sự ổn định của hệ thống tổng đài MiPBX và khả năng giải quyết sự cố rất nhanh chóng, điều rất quan trọng với tỷ lệ đặt xe lên đến hàng trăm cuộc mỗi ngày."
hệ thống là gì?,475,Cam kết chất lượng,MiSMS,"MiSMS cam kết hệ thống ổn định, gửi tin nhắn chính xác, không lỗi, giúp doanh nghiệp yên tâm sử dụng cho CSKH & marketing."
"Cho phép thực hiện chiến dịch telesales, khảo?",359,Tính năng Outbound,MiCXM,"Cho phép thực hiện chiến dịch telesales, khảo sát, debt-collection, marketing qua điện thoại hoặc SMS."
Lợi ích của khách hàng,322,Lợi ích,AutoCall,Auto Call giúp giảm 95% nhân lực tổng đài và tăng 75% hiệu quả tiếp cận khách hàng.
