id,group,topic,contents
1,Company,Giới thiệu,MITEK J.S.C là Công ty Cổ phần Công nghệ Dịch vụ chuyên cung cấp các giải pháp công nghệ tiên tiến trong lĩnh vực CNTT và Viễn thông.
2,Company,Giới thiệu,"Sứ mệnh của MITEK là xây dựng nền tảng số giúp doanh nghiệp nâng cao hiệu quả quản trị trải nghiệm khách hàng, quản lý bán hàng và Marketing tự động hóa."
3,Technology,Công nghệ,Các sản phẩm của MITEK được triển khai theo mô hình Điện toán đám mây (Cloud) hoặc SaaS (Software as a Service).
4,Technology,Công nghệ,Hệ thống MITEK tuân thủ các tiêu chuẩn bảo mật cao như chứng chỉ ISO 27001:2013.
5,Product,Sản phẩm,"MiPBX (Tổng đài Ảo Cloud PBX) là hệ thống tổng đài nội bộ không cần phần cứng, hỗ trợ các tính năng như IVR, ghi âm tự động, và kết nối miễn phí giữa các chi nhánh."
6,MiPBX,Tính năng MiPBX,"Giải pháp MiPBX có thể được triển khai rất nhanh, chỉ trong vòng 30 phút, và có chi phí vận hành cố định mỗi tháng."
7,Product,Sản phẩm,"MiCXM (CRM Contact Center) là hệ thống quản lý trải nghiệm khách hàng đa kênh (Voice, Email, Chat, Facebook) và tối ưu hóa năng suất Telesales/Outbound."
8,MiCXM,Tính năng MiCXM,MiCXM sở hữu các tính năng nâng cao như PDS (Predictive Dialer System) và định tuyến cuộc gọi dựa trên kỹ năng (skill-based routing).
9,MiCXM,Lợi ích MiCXM,Việc sử dụng MiCXM có thể giúp giảm chi phí hoạt động Contact Center lên đến 70% nhờ xây dựng trên nền tảng Cloud và mã nguồn mở.
10,Product,Sản phẩm,MiDesk (OmniChannel Support) là phần mềm quản lý hỗ trợ khách hàng đa kênh thông qua hệ thống Ticket System tập trung.
11,MiDesk,Tính năng MiDesk,"MiDesk giúp chuyển đổi mọi tương tác (Call, Chat, Email, Social) thành phiếu xử lý (Ticket), thực hiện phân bổ tự động, và cung cấp báo cáo KPI/SLA chi tiết."
12,Product,Sản phẩm,MiSMS cung cấp dịch vụ gửi tin nhắn hàng loạt bằng SMS Brandname và Zalo Notification Service (ZNS) để quảng cáo và chăm sóc khách hàng.
13,Integration,Tích hợp,"Các sản phẩm MITEK dễ dàng tích hợp với các hệ thống CRM, ERP, và Ticketing bên thứ ba thông qua API, bao gồm Salesforce CRM, Zoho CRM, và Zendesk."
14,Case Study,Case Study,"Khách hàng J&T Express sử dụng MiCXM để quản lý, phân tầng nhân viên (Admin, Senior, QC) và tích hợp Kho kiến thức (Knowledge Base) để Agent tra cứu thông tin nhanh."
15,Case Study,Case Study,Bệnh viện Nguyễn Tri Phương và Khu căn hộ HAGL 3 chọn MiPBX vì hệ thống hoạt động ổn định và được hỗ trợ kỹ thuật nhanh chóng từ MITEK và nhà mạng.
16,MiPBX,MiPBX: Auto Call,"Auto Call MiPBX là dịch vụ gọi tự động thông minh, thực hiện hàng trăm, hàng nghìn cuộc gọi với nội dung dựng sẵn từ file Audio hoặc nội dung cá nhân hóa bằng công nghệ AI Text2Speech."
17,Benefits,Lợi ích Auto Call,"Giải pháp Auto Call MiPBX giúp cắt giảm 100% Chi phí đầu tư hạ tầng, tiết kiệm 95% nguồn lực tổng đài viên, và gia tăng 75% hiệu quả tiếp cận khách hàng."
18,Other,Ứng dụng Auto Call,"Auto Call có thể được sử dụng trong nghiệp vụ Tài chính (gọi nhắc nhở lịch thu hồi nợ, gia hạn dịch vụ), gọi thông báo tình trạng vận đơn, hoặc gọi thông báo lịch hẹn/tái khám."
19,Other,Tính năng Auto Call,"Auto Call MiPBX hỗ trợ quản lý đồng thời nhiều chiến dịch, cho phép tương tác cuộc gọi 2 chiều qua phím ấn, và quản lý nguồn import từ file Excel hoặc qua API."
20,MiPBX,MiPBX: Missed Call,"Để chủ động phòng chống Missed Call (cuộc gọi nhỡ) không để mất khách, MiPBX sử dụng tính năng Missed Call to Email."
21,Benefits,Lợi ích Missed Call,"Khi có cuộc gọi nhỡ, hệ thống sẽ gửi email chứa thông tin chi tiết (thời gian, số điện thoại khách hàng, đầu số bị nhỡ) để nhân viên liên hệ lại kịp thời và phân tích xu hướng."
22,MiPBX,MiPBX: IVR,IVR (Interactive Voice Response) là hệ thống phản hồi tích hợp giọng nói (lời chào) và là xương sống của quy trình định tuyến cuộc gọi trong Call Center.
23,Benefits,Lợi ích IVR,"IVR giúp tiết kiệm thời gian và chi phí bằng cách tự phân loại thông tin qua tùy chọn phím bấm, giúp người gọi kết nối nhanh chóng và chính xác tới tổng đài viên phù hợp."
24,Other,Tính năng IVR,"Hệ thống IVR hỗ trợ định tuyến cuộc gọi dựa trên menu thời gian (Time Condition), chuyển đổi Text-to-Speech với nhiều ngôn ngữ, và tạo cây IVR phức tạp qua giao diện đồ họa."
25,Integration,Tích hợp CRM,Tổng đài Call Center MiPBX có thể tích hợp với các hệ thống CRM như Zoho CRM hoặc Bitrix24 để hiển thị giao diện Pop-up chứa thông tin khách hàng ngay khi có cuộc gọi đến.
26,Integration,Tích hợp CRM,"Việc tích hợp MiPBX với CRM giúp nhân viên có quyền truy cập thông tin thời gian thực, phá vỡ kho chứa dữ liệu, từ đó tăng cường hiệu suất làm việc và chốt giao dịch tốt hơn."
27,MiDesk,MiDesk: Ticketing,"Hệ thống Ticket system của MiDesk giúp tiếp nhận kịp thời, gán trách nhiệm đầy đủ, theo dõi và quản lý chặt chẽ số lượng yêu cầu (ticket) ngày càng tăng của khách hàng."
28,MiDesk,MiDesk: Ticketing,Ticket system của MiDesk là một quy trình hoàn chỉnh: Tiếp nhận – Phân phối – Xử lý – Theo dõi – Quản lý các yêu cầu của khách hàng từ nhiều kênh về một nơi duy nhất.
